billing_period,date,account_id,service,usage_type,region,cost_usd,usage_quantity
2026-01,2026-01-31,acct_001,AmazonEC2,BoxUsage:m5.xlarge,us-east-1,927.48,4780.38
2026-01,2026-01-31,acct_001,AmazonEC2,BoxUsage:m5.xlarge,eu-west-1,948.28,4985.43
2026-01,2026-01-31,acct_001,AmazonS3,TimedStorage-ByteHrs,us-east-1,249.25,10695835.07
2026-01,2026-01-31,acct_001,AmazonS3,TimedStorage-ByteHrs,eu-west-1,287.45,12458092.77
2026-01,2026-01-31,acct_001,AmazonRDS,InstanceUsage:db.r5.large,us-east-1,592.14,2446.20
2026-01,2026-01-31,acct_001,AmazonRDS,InstanceUsage:db.r5.large,eu-west-1,607.62,2551.44
2026-01,2026-01-31,acct_001,AWSLambda,Lambda-GB-Second,us-east-1,63.12,3830170.41
2026-01,2026-01-31,acct_001,AWSLambda,Lambda-GB-Second,eu-west-1,65.41,3890813.19
2026-01,2026-01-31,acct_001,AmazonCloudWatch,MetricMonitorUsage,us-east-1,60.67,200.29
2026-01,2026-01-31,acct_001,AmazonCloudWatch,MetricMonitorUsage,eu-west-1,69.24,230.67
2026-01,2026-01-31,acct_001,AmazonEKS,AmazonEKS-Hours:perCluster,us-east-1,207.32,2059.11
2026-01,2026-01-31,acct_001,AmazonEKS,AmazonEKS-Hours:perCluster,eu-west-1,229.28,2289.21
2026-01,2026-01-31,acct_002,AmazonEC2,BoxUsage:m5.xlarge,us-west-2,1025.91,5324.49
2026-01,2026-01-31,acct_002,AmazonS3,TimedStorage-ByteHrs,us-west-2,332.00,14487405.01
2026-01,2026-01-31,acct_002,AmazonRDS,InstanceUsage:db.r5.large,us-west-2,695.95,2912.26
2026-01,2026-01-31,acct_002,AWSLambda,Lambda-GB-Second,us-west-2,106.66,6373355.93
2026-01,2026-01-31,acct_002,AmazonCloudWatch,MetricMonitorUsage,us-west-2,62.30,205.99
2026-01,2026-01-31,acct_002,AmazonEKS,AmazonEKS-Hours:perCluster,us-west-2,237.33,2400.08
2026-01,2026-01-31,acct_003,AmazonEC2,BoxUsage:m5.xlarge,us-east-1,201.90,1042.72
2026-01,2026-01-31,acct_003,AmazonEC2,BoxUsage:m5.xlarge,us-west-2,166.33,871.93
2026-01,2026-01-31,acct_003,AmazonEC2,BoxUsage:m5.xlarge,eu-central-1,199.80,1046.27
2026-01,2026-01-31,acct_003,AmazonS3,TimedStorage-ByteHrs,us-east-1,55.25,2407553.48
2026-01,2026-01-31,acct_003,AmazonS3,TimedStorage-ByteHrs,us-west-2,58.22,2536677.73
2026-01,2026-01-31,acct_003,AmazonS3,TimedStorage-ByteHrs,eu-central-1,59.73,2602764.48
2026-01,2026-01-31,acct_003,AmazonRDS,InstanceUsage:db.r5.large,us-east-1,126.86,528.92
2026-01,2026-01-31,acct_003,AmazonRDS,InstanceUsage:db.r5.large,us-west-2,124.25,520.99
2026-01,2026-01-31,acct_003,AmazonRDS,InstanceUsage:db.r5.large,eu-central-1,115.42,479.37
2026-01,2026-01-31,acct_003,AWSLambda,Lambda-GB-Second,us-east-1,11.75,700517.33
2026-01,2026-01-31,acct_003,AWSLambda,Lambda-GB-Second,us-west-2,14.02,853553.26
2026-01,2026-01-31,acct_003,AWSLambda,Lambda-GB-Second,eu-central-1,11.76,712210.75
2026-01,2026-01-31,acct_003,AmazonCloudWatch,MetricMonitorUsage,us-east-1,10.14,33.70
2026-01,2026-01-31,acct_003,AmazonCloudWatch,MetricMonitorUsage,us-west-2,13.04,43.70
2026-01,2026-01-31,acct_003,AmazonCloudWatch,MetricMonitorUsage,eu-central-1,13.94,46.83
2026-01,2026-01-31,acct_003,AmazonEKS,AmazonEKS-Hours:perCluster,us-east-1,40.03,398.44
2026-01,2026-01-31,acct_003,AmazonEKS,AmazonEKS-Hours:perCluster,us-west-2,46.66,465.70
2026-01,2026-01-31,acct_003,AmazonEKS,AmazonEKS-Hours:perCluster,eu-central-1,39.05,386.08
2026-01,2026-01-31,acct_004,AmazonEC2,BoxUsage:m5.xlarge,eu-central-1,296.55,1552.20
2026-01,2026-01-31,acct_004,AmazonS3,TimedStorage-ByteHrs,eu-central-1,109.82,4807716.94
2026-01,2026-01-31,acct_004,AmazonRDS,InstanceUsage:db.r5.large,eu-central-1,214.26,894.17
2026-01,2026-01-31,acct_004,AWSLambda,Lambda-GB-Second,eu-central-1,26.63,1592686.30
2026-01,2026-01-31,acct_004,AmazonCloudWatch,MetricMonitorUsage,eu-central-1,25.00,82.78
2026-01,2026-01-31,acct_004,AmazonEKS,AmazonEKS-Hours:perCluster,eu-central-1,71.91,716.36
2026-01,2026-01-31,acct_005,AmazonEC2,BoxUsage:m5.xlarge,us-east-1,605.59,3169.49
2026-01,2026-01-31,acct_005,AmazonEC2,BoxUsage:m5.xlarge,us-west-2,631.07,3287.22
2026-01,2026-01-31,acct_005,AmazonS3,TimedStorage-ByteHrs,us-east-1,234.13,10224952.86
2026-01,2026-01-31,acct_005,AmazonS3,TimedStorage-ByteHrs,us-west-2,233.40,10137786.47
2026-01,2026-01-31,acct_005,AmazonRDS,InstanceUsage:db.r5.large,us-east-1,438.74,1826.63
2026-01,2026-01-31,acct_005,AmazonRDS,InstanceUsage:db.r5.large,us-west-2,423.38,1738.56
2026-01,2026-01-31,acct_005,AWSLambda,Lambda-GB-Second,us-east-1,22.23,1320567.97
2026-01,2026-01-31,acct_005,AWSLambda,Lambda-GB-Second,us-west-2,72.22,4293687.27
2026-01,2026-01-31,acct_005,AmazonCloudWatch,MetricMonitorUsage,us-east-1,47.39,160.01
2026-01,2026-01-31,acct_005,AmazonCloudWatch,MetricMonitorUsage,us-west-2,46.26,155.34
2026-01,2026-01-31,acct_005,AmazonEKS,AmazonEKS-Hours:perCluster,us-east-1,136.69,1364.08
2026-01,2026-01-31,acct_005,AmazonEKS,AmazonEKS-Hours:perCluster,us-west-2,149.32,1488.19
2026-01,2026-01-31,acct_006,AmazonEC2,BoxUsage:m5.xlarge,us-east-1,252.49,1292.33
2026-01,2026-01-31,acct_006,AmazonS3,TimedStorage-ByteHrs,us-east-1,76.35,3327360.71
2026-01,2026-01-31,acct_006,AmazonRDS,InstanceUsage:db.r5.large,us-east-1,149.64,614.49
2026-01,2026-01-31,acct_006,AWSLambda,Lambda-GB-Second,us-east-1,15.66,934731.23
2026-01,2026-01-31,acct_006,AmazonCloudWatch,MetricMonitorUsage,us-east-1,16.88,56.27
2026-01,2026-01-31,acct_006,AmazonEKS,AmazonEKS-Hours:perCluster,us-east-1,57.06,569.19
2026-01,2026-01-31,acct_007,AmazonEC2,BoxUsage:m5.xlarge,eu-west-1,369.68,1928.88
2026-01,2026-01-31,acct_007,AmazonEC2,BoxUsage:m5.xlarge,eu-central-1,436.75,2305.68
2026-01,2026-01-31,acct_007,AmazonS3,TimedStorage-ByteHrs,eu-west-1,137.87,6015602.40
2026-01,2026-01-31,acct_007,AmazonS3,TimedStorage-ByteHrs,eu-central-1,144.35,6201601.87
2026-01,2026-01-31,acct_007,AmazonRDS,InstanceUsage:db.r5.large,eu-west-1,262.47,1083.51
2026-01,2026-01-31,acct_007,AmazonRDS,InstanceUsage:db.r5.large,eu-central-1,278.18,1143.11
2026-01,2026-01-31,acct_007,AWSLambda,Lambda-GB-Second,eu-west-1,31.62,1892916.56
2026-01,2026-01-31,acct_007,AWSLambda,Lambda-GB-Second,eu-central-1,22.77,1352028.27
2026-01,2026-01-31,acct_007,AmazonCloudWatch,MetricMonitorUsage,eu-west-1,29.43,98.92
2026-01,2026-01-31,acct_007,AmazonCloudWatch,MetricMonitorUsage,eu-central-1,31.68,108.68
2026-01,2026-01-31,acct_007,AmazonEKS,AmazonEKS-Hours:perCluster,eu-west-1,96.19,952.43
2026-01,2026-01-31,acct_007,AmazonEKS,AmazonEKS-Hours:perCluster,eu-central-1,61.51,616.76
2026-01,2026-01-31,acct_008,AmazonEC2,BoxUsage:m5.xlarge,us-east-1,335.21,1738.65
2026-01,2026-01-31,acct_008,AmazonEC2,BoxUsage:m5.xlarge,us-west-2,326.46,1697.90
2026-01,2026-01-31,acct_008,AmazonEC2,BoxUsage:m5.xlarge,eu-west-1,397.79,2075.08
2026-01,2026-01-31,acct_008,AmazonS3,TimedStorage-ByteHrs,us-east-1,115.13,4953995.38
2026-01,2026-01-31,acct_008,AmazonS3,TimedStorage-ByteHrs,us-west-2,97.16,4203915.70
2026-01,2026-01-31,acct_008,AmazonS3,TimedStorage-ByteHrs,eu-west-1,111.43,4930660.31
2026-01,2026-01-31,acct_008,AmazonRDS,InstanceUsage:db.r5.large,us-east-1,242.31,1019.53
2026-01,2026-01-31,acct_008,AmazonRDS,InstanceUsage:db.r5.large,us-west-2,246.82,1016.22
2026-01,2026-01-31,acct_008,AmazonRDS,InstanceUsage:db.r5.large,eu-west-1,243.61,1007.69
2026-01,2026-01-31,acct_008,AWSLambda,Lambda-GB-Second,us-east-1,35.78,2128866.18
2026-01,2026-01-31,acct_008,AWSLambda,Lambda-GB-Second,us-west-2,31.12,1850420.81
2026-01,2026-01-31,acct_008,AWSLambda,Lambda-GB-Second,eu-west-1,27.65,1665412.14
2026-01,2026-01-31,acct_008,AmazonCloudWatch,MetricMonitorUsage,us-east-1,25.91,86.33
2026-01,2026-01-31,acct_008,AmazonCloudWatch,MetricMonitorUsage,us-west-2,23.72,79.43
2026-01,2026-01-31,acct_008,AmazonCloudWatch,MetricMonitorUsage,eu-west-1,24.67,81.24
2026-01,2026-01-31,acct_008,AmazonEKS,AmazonEKS-Hours:perCluster,us-east-1,71.74,718.63
2026-01,2026-01-31,acct_008,AmazonEKS,AmazonEKS-Hours:perCluster,us-west-2,92.89,930.38
2026-01,2026-01-31,acct_008,AmazonEKS,AmazonEKS-Hours:perCluster,eu-west-1,82.47,827.06
2026-02,2026-02-01,acct_001,AmazonEC2,BoxUsage:m5.xlarge,us-east-1,1002.68,5233.76
2026-02,2026-02-01,acct_001,AmazonEC2,BoxUsage:m5.xlarge,eu-west-1,771.08,4060.47
2026-02,2026-02-01,acct_001,AmazonS3,TimedStorage-ByteHrs,us-east-1,292.57,12915980.34
2026-02,2026-02-01,acct_001,AmazonS3,TimedStorage-ByteHrs,eu-west-1,288.37,12384131.24
2026-02,2026-02-01,acct_001,AmazonRDS,InstanceUsage:db.r5.large,us-east-1,543.93,2303.79
2026-02,2026-02-01,acct_001,AmazonRDS,InstanceUsage:db.r5.large,eu-west-1,628.90,2615.72
2026-02,2026-02-01,acct_001,AWSLambda,Lambda-GB-Second,us-east-1,57.68,3511390.22
2026-02,2026-02-01,acct_001,AWSLambda,Lambda-GB-Second,eu-west-1,49.21,2926329.98
2026-02,2026-02-01,acct_001,AmazonCloudWatch,MetricMonitorUsage,us-east-1,62.38,207.12
2026-02,2026-02-01,acct_001,AmazonCloudWatch,MetricMonitorUsage,eu-west-1,61.32,204.08
2026-02,2026-02-01,acct_001,AmazonEKS,AmazonEKS-Hours:perCluster,us-east-1,213.30,2163.06
