timestamp,pod_name,namespace,node,cpu_usage_cores,memory_usage_mb,cpu_request_cores,memory_request_mb
2026-01-31T00:00:00Z,api-gateway-7f8d9,production,node-01,0.1325,199.1,0.5,512
2026-01-31T00:00:00Z,batch-processor-1d5f3,production,node-01,0.3767,976.1,1.0,2048
2026-01-31T00:00:00Z,cache-layer-5f1d9,production,node-01,0.2358,484.1,0.5,1024
2026-01-31T00:00:00Z,data-pipeline-4a2c1,production,node-02,0.7801,1912.1,2.0,4096
2026-01-31T00:00:00Z,legacy-etl-2e7b4,production,node-03,0.0472,86.2,2.0,4096
2026-01-31T00:00:00Z,model-serving-9b3e7,ml-inference,node-03,1.9075,3181.7,4.0,8192
2026-01-31T00:00:00Z,monitoring-agent-6c8a2,observability,node-02,0.1170,170.2,0.25,256
2026-01-31T01:00:00Z,api-gateway-7f8d9,production,node-01,0.2011,184.5,0.5,512
2026-01-31T01:00:00Z,batch-processor-1d5f3,production,node-01,0.3182,858.2,1.0,2048
2026-01-31T01:00:00Z,cache-layer-5f1d9,production,node-01,0.3089,491.2,0.5,1024
2026-01-31T01:00:00Z,data-pipeline-4a2c1,production,node-02,0.7547,2271.9,2.0,4096
2026-01-31T01:00:00Z,legacy-etl-2e7b4,production,node-03,0.0472,90.2,2.0,4096
2026-01-31T01:00:00Z,model-serving-9b3e7,ml-inference,node-03,1.8972,3679.0,4.0,8192
2026-01-31T01:00:00Z,monitoring-agent-6c8a2,observability,node-02,0.1299,120.1,0.25,256
2026-01-31T02:00:00Z,api-gateway-7f8d9,production,node-01,0.1366,216.7,0.5,512
2026-01-31T02:00:00Z,batch-processor-1d5f3,production,node-01,0.4118,775.2,1.0,2048
2026-01-31T02:00:00Z,cache-layer-5f1d9,production,node-01,0.1913,505.3,0.5,1024
2026-01-31T02:00:00Z,data-pipeline-4a2c1,production,node-02,0.5055,1919.3,2.0,4096
2026-01-31T02:00:00Z,legacy-etl-2e7b4,production,node-03,0.0460,86.2,2.0,4096
2026-01-31T02:00:00Z,model-serving-9b3e7,ml-inference,node-03,1.8084,3219.6,4.0,8192
2026-01-31T02:00:00Z,monitoring-agent-6c8a2,observability,node-02,0.0800,119.6,0.25,256
2026-01-31T03:00:00Z,api-gateway-7f8d9,production,node-01,0.1515,211.1,0.5,512
2026-01-31T03:00:00Z,batch-processor-1d5f3,production,node-01,0.3614,822.4,1.0,2048
2026-01-31T03:00:00Z,cache-layer-5f1d9,production,node-01,0.1919,606.8,0.5,1024
2026-01-31T03:00:00Z,data-pipeline-4a2c1,production,node-02,0.8786,2168.4,2.0,4096
